IIiii|OACI|Nombre|Estado|Latitud|Longitud|Altitud|Notas
8924||PANTICOSA, ESQUI|SPAIN|42-42N|000-16W|1830|
8922||PANTICOSA,' REFUGIO CASA PIEDRA|SPAIN|42-46N|000-14W|1660|Hasta 20151201
8162||PERDIGUERA|SPAIN|41-44N|000-32W|819|
8357||PINOSO|SPAIN|38-23-57N|001-02-17W|590|
8252||PLASENCIA|SPAIN|40-02-35N|006-05-08W|415|
8051||POBRA DE TRIVES-SAN|SPAIN|42-20-21N|007-16-54W|840|
8033||POLIENTES-CASYC|SPAIN|42-48-21N|003-56-02W|720|
8287||POLINYA|SPAIN|39-11-03N|000-22-18W|12|
8053||PONFERRADA|SPAIN|42-32N|006-35W|550|
8044||PONTEVEDRA|SPAIN|42-26N|008-37W|108|
8120||PORQUERES|SPAIN|42-06-15N|002-45-47E|157|
8310||PORRERES|SPAIN|39-31-18N|003-01-09E|120|
8938||PORT AINE|SPAIN|42-25N|001-13E|2080|
8942||PORT DEL COMTE|SPAIN|42-10N|001-34E|1800|
8309||PORTO COLOM|SPAIN|39-24-51N|003-16-18E|17|
8271||PUEBLA DE DON RODRIG|SPAIN|39-05-18N|004-36-59W|485|
60012||PUERTO DE LA CRUZ|SPAIN|28-25-05N|016-32-53W|25|
8052||PUERTO DE LEITARIEGO|SPAIN|42-59-39N|006-24-51W|1530|
60036||PUERTO DE MOGAN|SPAIN|27-48-59N|015-45-51W|10|
8057||PUERTO DE SAN ISIDRO|SPAIN|43-03-42N|005-22-36W|1510|
8059||PUNTA GALEA|SPAIN|43-22-32N|003-01-09W|90|
8275||QUINTANAR DE LA ORDE|SPAIN|39-35-49N|003-02-48W|691|
8175|LERS|REUS / AEROPUERTO|SPAIN|41-09N|001-10E|71|
8118||RIPOLL|SPAIN|42-11-29N|002-11-44E|671|
8212||ROBLEDO DE CHAVELA|SPAIN|40-25-40N|004-15-00W|790|
8399||RODA DE ANDALUCIA|SPAIN|37-11-39N|004-46-09W|410|
8443||RONDA|SPAIN|36-44-57N|005-10-05W|770|
