ID|ESTACION|IIiii|OACI|Nombre|Estado|Latitud|Longitud|Altitud|Notas
8335|HINOJOSA DEL DUQUE|8335.0|LEHI|HINOJOSA DEL DUQUE|SPAIN|38-31N|005-07W|540|
8383|HUELVA|8383.0||HUELVA|SPAIN|37-17N|006-55W|20|
8428|HUERCAL OVERA|8428.0||HUERCAL OVERA|SPAIN|37-23-26N|001-56-35W|300|
8094|HUESCA/PIRINEOS|8094.0||HUESCA / MONFLORITE|SPAIN|42-05N|000-20W|542|
8373|IBIZA/ES CODOLA|8373.0|LEIB|IBIZA / ES CODOLA|SPAIN|38-52N|001-23E|7|
8089|ILUNDAIN|8089.0||ILUNDAIN|SPAIN|42-46-32N|001-31-55W|572|
8030|IRURITA|8030.0||IRURITA|SPAIN|43-08-08N|001-32-34W|183|
8912|ISABA,  EL FERIAL|8912.0||ISABA,'REFUGIO BELAGUA|SPAIN|42-57N|000-50W|1434|Hasta 20151201
8091|JACA|8091.0||JACA|SPAIN|42-34-42N|000-32-48W|823|
8417|JAEN|8417.0||JAEN|SPAIN|37-47N|003-48W|582|
8370|JAVEA, AYUNTAMIENTO|8370.0||JAVEA - AYUNTAMIENTO|SPAIN|38-47-03N|000-10-00E|15|
8451|JEREZ DE LA FRONTERA AEROPUERTO|8451.0|LEJR|JEREZ DE LA FRONTERAAEROPUERTO|SPAIN|36-45N|006-04W|27|
8337|JEREZ DE LOS CABALLE|8337.0||JEREZ DE LOS CABALLE|SPAIN|38-17-52N|006-45-51W|381|
8001|LA CORUNA|8001.0||LA CORUNA|SPAIN|43-22N|008-25W|58|
8002|LA CORUNA/ALVEDRO|8002.0|LECO|LA CORUNA / ALVEDRO|SPAIN|43-18N|008-23W|97|
8205|LA COVATILLA, ESTACI|8205.0||LA COVATILLA - ESTACI|SPAIN|40-21-15N|005-41-21W|1960|
8117|LA MOLINA|8117.0||LA MOLINA|SPAIN|42-20N|001-56E|1704|
8143|LA PINILLA, ESTACION|8143.0||LA PINILLA - ESTACION|SPAIN|41-11-30N|003-28-31W|1798|
8115|LA SEO DURGELL|8115.0||LA SEO DURGELL|SPAIN|42-21-15N|001-27-46E|677|
8123|LAGUNAS DE SOMOZA|8123.0||LAGUNAS DE SOMOZA|SPAIN|42-22-37N|006-11-48W|1020|
8024|LEKEITIO,FARO|8024.0||LEKEITIO - FARO|SPAIN|43-22-36N|002-30-37W|12|
8055|LEON/VIRGEN DEL CAMINO|8055.0|LELN|LEON / VIRGEN DEL CAMINO|SPAIN|42-35N|005-39W|926|
8016|LLANES|8016.0||LLANES|SPAIN|43-25-13N|004-44-53W|10|
8171|LLEIDA|8171.0||LLEIDA|SPAIN|41-37-34N|000-35-53E|199|
8336|LLERENA|8336.0||LLERENA|SPAIN|38-13-54N|006-01-00W|655|
8304|LLUC|8304.0||LLUC|SPAIN|39-49-23N|002-53-08E|490|
8308|LLUCMAYOR|8308.0||LLUCMAYOR|SPAIN|39-23N|002-47E|113|
8084|LOGRONO/AGONCILLO|8084.0|LELO|LOGRONO / AGONCILLO|SPAIN|42-27N|002-20W|353|
8414|LOJA|8414.0||LOJA|SPAIN|37-09-41N|004-10-09W|585|
8426|LORCA|8426.0||LORCA|SPAIN|37-39-16N|001-41-12W|312|
8008|LUGO/ROZAS|8008.0||LUGO / ROZAS|SPAIN|43-07N|007-27W|445|
8222|MADRID, RETIRO|8222.0||MADRID|SPAIN|40-25N|003-41W|655|
8221|MADRID/BARAJAS|8221.0|LEMD|MADRID / BARAJAS|SPAIN|40-27N|003-33W|609|
8220|MADRID/C. UNIVERSITARIA|8220.0||MADRID / C. UNIVERSITARIA|SPAIN|40-27N|003-43W|664|
8223|MADRID/CUATRO VIENTOS|8223.0|LEVS|MADRID / CUATRO VIENTOS|SPAIN|40-23N|003-47W|690|
8224|MADRID/GETAFE|8224.0|LEGT|MADRID / GETAFE|SPAIN|40-18N|003-43W|620|
8227|MADRID/TORREJON|8227.0|LETO|MADRID / TORREJON|SPAIN|40-29N|003-27W|607|
8273|MADRIDEJOS|8273.0||MADRIDEJOS|SPAIN|39-29-29N|003-31-41W|690|
8481|MALAGA,CMT|8481.0||MALAGA - CMT|SPAIN|36-43-04N|004-28-54W|60|
8479|MALAGA,PUERTO|8479.0||MALAGA - PUERTO|SPAIN|36-43-00N|004-25-09W|25|
8482|MALAGA/AEROPUERTO|8482.0|LEMG|MALAGA / AEROPUERTO|SPAIN|36-40N|004-29W|16|
8302|MALLORCA-SON BONET|8302.0||MALLORCA-SON BONET|SPAIN|39-36N|002-42E|41|
8174|MANRESA|8174.0||MANRESA|SPAIN|41-43-13N|001-50-21E|291|
8944|MASELLA|8944.0||MASELLA|SPAIN|42-20N|001-53E|1985|
8063|MEDINA DE POMAR|8063.0||MEDINA DE POMAR|SPAIN|42-55-12N|003-28-54W|580|
8314|MENORCA/AEROPUERTO|8314.0|LEMH|MENORCA / MAHON|SPAIN|39-52N|004-14E|87|
8331|MERIDA|8331.0||MERIDA|SPAIN|38-54-55N|006-23-08W|228|
8232|MOLINA DE ARAGON|8232.0||MOLINA DE ARAGON|SPAIN|40-51N|001-53W|1056|
8397|MORON DE LA FRONTERA|8397.0|LEMO|MORON DE LA FRONTERA|SPAIN|37-09N|005-37W|87|
8485|MOTRIL,CLUB NAUTICO|8485.0||MOTRIL - CLUB NAUTICO|SPAIN|36-43-27N|003-31-44W|12|
8430|MURCIA|8430.0||MURCIA|SPAIN|38-00N|001-10W|61|
8429|MURCIA/ALCANTARILLA|8429.0|LERI|MURCIA / ALCANTARILLA|SPAIN|37-57N|001-14W|75|
8433|MURCIA/SAN JAVIER|8433.0|LELC|MURCIA / SAN JAVIER|SPAIN|37-47N|000-48W|5|
8215|NAVACERRADA, PUERTO|8215.0||NAVACERRADA|SPAIN|40-47N|004-01W|1894|
8254|NAVALMORAL DE LA MAT|8254.0||NAVALMORAL DE LA MAT|SPAIN|39-56-44N|005-34-54W|269|
8206|NAVARREDONDA DE GRED|8206.0||NAVARREDONDA DE GRED|SPAIN|40-21-02N|005-08-35W|1525|
8032|NESTARES|8032.0||NESTARES|SPAIN|42-59-29N|004-09-38W|870|
8489|NIJAR|8489.0||NIJAR|SPAIN|36-50N|002-05W|485|
8946|NURIA|8946.0||NURIA|SPAIN|42-24N|002-09E|1967|
8047|O CARBALLINO|8047.0||O CARBALLIÑO|SPAIN|42-25-17N|008-05-31W|400|
8282|OLIVA|8282.0||OLIVA|SPAIN|38-55-44N|000-05-44W|5|
8048|ORENSE|8048.0||ORENSE|SPAIN|42-20N|007-52W|128|
